1,"González Díaz Carlos ",m,ESP
2,"Sánchez Gómez Javier",m,ESP
3,"Domínguez Modrón Guillermo",m,ESP
4,"Palacio Angel",m,ESP
5,"Langa Eduardo ",m,ESP
6,"Espinosa Angel",m,ESP
7,"Duran Francisco Manuel ",m,ESP
8,"Domínguez Durán Guillermo",m,ESP
9,"Ruano Palomares Carlos ",m,ESP
10,"Germanovych Oleksiy",m,ESP
11,"Tarrazona Gasque Ignasi",m,ESP
12,"Espinosa Martínez Sara ",f,ESP
13,"Martínez Maria del Carmen",f,ESP
14,"Alcázar Jesús",m,ESP
15,"da Silva Iván",m,POR
16,"Cabezas Angel ",m,ESP
17,"Zamorano Javier",m,ESP
18,"Segura Alejandro ",m,ESP
19,"Burgos Fran ",m,ESP
20,"Pérez Daniel ",m,ESP
21,"Sánchez Martínez Javier ",m,ESP
22,"Montoliu Laila",f,ESP
23,"Ibrahim Tonegawa Jadiyah",f,ESP
24,"Pamplona Bolea Jorge",m,ESP
25,"Fuido Moral Daniel ",m,ESP
26,"Henestrada Luis ",m,ESP
27,"López Erik ",m,ESP
28,"Cogolludo Maria Angeles",f,ESP
29,"Paz Rubio Alex Fernando ",m,ESP
30,"Mulero Ignacio ",m,ESP
31,"Muñoz Chacón Galo",m,ESP
32,"Bravo Ubeda Bárbara",f,ESP
33,"Montero Para Iván",m,ESP
34,"Gurutz Ion ",m,ESP
35,"Cortes Sanz Nacho",m,ESP
36,"del Baño Juan ",m,ESP
37,"Paricio Luis ",m,ESP
38,"Olcina Israel ",m,ESP
39,"Araque Ruben",m,ESP
40,"Garcia Mario",m,ESP
41,"Alonso Pablo",m,ESP
42,"Martinez Garcia Carlos",m,ESP
43,"Panriella Gayol Jairo",m,ESP
44,"Castell Ruiz Ignacio",m,ESP
45,"Romero Paulo",m,POR
46,"Marilles Ivan",m,ESP
47,"Martinez Juan Carlos",m,ESP
48,"Herandez Gomez Carlos",m,ESP
49,"Perez Garcia Arturo ",m,ESP
50,"Acosta Kevin",m,ESP
51,"Vargas Kevin",m,ESP
52,"Gil Osorio Fernando",m,ESP
53,"Verdasco Sergio",m,ESP
54,"Grosse Nora",f,ESP
55,"Fernandez Elias",m,ESP
56,"Jorg Guntram",m,AUT
57,"Lambrecht Estefan",m,ESP
58,"Addente Giuseppe",m,ESP
59,"Robinson Paul",m,USA
60,"Kahn Alex",f,USA
