per_id,lastname,firstname,nation,q_rank,q_t,q_ta,q_b,s_rank,s_sn,s_t,s_ta,s_b,s_ba,s_t1,s_t2,s_t3,s_t4,s_b1,s_b2,s_b3,s_b4,s_a1,s_a2,s_a3,s_a4,f_rank,f_sn,f_t,f_ta,f_b,f_ba,f_t1,f_t2,f_t3,f_t4,f_b1,f_b2,f_b3,f_b4,f_a1,f_a2,f_a3,f_a4
8247,Coxsey,Shauna,GBR,1,3,4,3,1,1,3,4,3,3,1,1,,2,1,1,,1,1,1,,2,1,6,4,6,4,6,1,3,1,1,1,3,1,1,1,4,1,1
10490,Hayes,Tara,GBR,5,2,5,3,5,6,2,5,3,6,1,4,,,1,4,,1,1,4,1,1,2,2,3,5,3,5,3,,1,1,3,,1,1,3,15,1,1
8101,Tracy,Michaela,GBR,2,3,5,3,2,2,3,5,3,5,1,2,,2,1,2,,2,1,2,,2,3,5,3,6,4,10,3,,1,2,3,5,1,1,3,5,1,2
6849,Crane,Leah,GBR,4,2,4,4,4,3,2,4,4,10,3,,,1,3,4,2,1,3,4,2,1,4,3,3,7,4,11,2,,2,3,2,5,2,2,2,7,2,3
10489,Thompson-Smith,Molly,GBR,3,2,2,2,3,4,2,2,2,2,1,1,,,1,1,,,1,1,,,5,4,0,0,2,2,0,0,,,0,0,1,1,4,8,4,4
11498,Wood,Jennifer,GBR,6,1,1,2,6,7,1,1,2,2,1,,,,1,,,1,1,,,1,6,1,0,0,2,8,,0,0,0,,0,1,7,6,7,4,8
11730,Graham,Sidonie,GBR,7,1,1,1,7,11,1,1,1,1,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
10959,Tilley,Florence,GBR,8,1,3,2,8,12,1,3,2,5,3,,,,3,,,2,3,,,2,,,,,,,,,,,,,,,,,,
12655,Slaney,Hannah,GBR,9,1,4,2,9,10,1,4,2,6,4,,,,4,2,,,4,2,,,,,,,,,,,,,,,,,,,,
7052,Berry,Natalie,GBR,15,1,6,1,10,8,1,6,1,6,6,,,,6,,,,6,,,,,,,,,,,,,,,,,,,,,
10114,Carr,Rachel,GBR,10,0,0,2,11,9,0,0,2,7,,,,,3,,4,,3,,4,,,,,,,,,,,,,,,,,,,
2016021,Biggs,Storme,GBR,10,0,0,2,12,5,0,0,2,16,,,,,,6,,10,1,6,,10,,,,,,,,,,,,,,,,,,
2016030,Littlefair,Julia,GBR,12,0,0,1,13,14,0,0,1,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
10960,Martin,Gracie,GBR,12,0,0,1,14,13,0,0,1,3,,,,,,,,3,,,,3,,,,,,,,,,,,,,,,,,
2016032,Neame,Jo,GBR,12,0,0,1,15,16,0,0,1,7,,,,,7,,,,7,,,,,,,,,,,,,,,,,,,,,
13386,Uttley,Gwyneth,GBR,16,,,,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
